"Reformasi pendidikan berbasis budaya lokal",370.0,"Ilmu-ilmu sosial",KB-426362
"Politik luar negeri kontemporer indonesia",327.0,"Ilmu-ilmu sosial",KB-428951
"Pengembangan dan problematika pendidikan di wiliayah kepulauan",370.0,"Ilmu-ilmu sosial",KB-842308
"Corporate social responsibility dalam kelembagaan",654.0,"Ilmu-ilmu terapan",KB-297060
"Pembelajaran berbasis neurosains blueprint pelaksanaan model model pembelajaran hypnohappy",371.0,"Ilmu-ilmu sosial",KB-017810
"Arus pengembara",813.0,Kesusastraan,KB-027719
"Teori politik untuk mahasiswa ilmu pemerintahan",320.0,"Ilmu-ilmu sosial",KB-438186
"Pebisnis pemula melakukan bisnis internasional",650.0,"Ilmu-ilmu terapan",KB-630708
"Monograf penggunaan gadget sebagai dampak gangguan pemusatan perhatian",1.0,"Karya umum",KB-923705
"Pakan ikan ramah lingkungan (PIRL)",636.0,"Ilmu-ilmu terapan",KB-548965
"Dimensi hak kesejahteraan sosial dalam peraturan daerah hakikat, konsep dan teknik",362.0,"Ilmu-ilmu sosial",KB-822696
"Buku kajian hukum tata negara",342.0,"Ilmu-ilmu sosial",KB-709434
"Dasar-dasar studi kelayakan bisnis, teori praktik dan analisis",1.0,"Karya umum",KB-302239
"Terminologi ilmu kelautan dan perikanan",623.0,"Ilmu-ilmu terapan",KB-196096
"Kepulauan Riau dalam pantun",398.0,"Ilmu-ilmu sosial",KB-422607
"Servant leadership POLRI dan budaya yang memengaruhinya",363.0,"Ilmu-ilmu sosial",KB-814799
"Dialectical semiotics : bridging language, culture, and nature in analyzing tradition discourse",401.0,Bahasa,KB-381373
"Manajemen pengembangan wilayah dan lingkungan",620.0,"Ilmu-ilmu terapan",KB-945323
"Aparatur sipil negeri dan pemilu perspektif demokrasi di indonesia",325.0,"Ilmu-ilmu sosial",KB-570360
"Bunga rampai fisiologi kedokteran",616.0,"Ilmu-ilmu terapan",KB-641598
"Abalon : teknologi pembesaran",570.0,"Ilmu-ilmu murni",KB-022419
"Asas kimia, teori dan aplikasi ed. pertama",541.0,"Ilmu-ilmu murni",KB-812500
"Etika bisnis perdagangan menurut al-quran",297.0,Agama,KB-954080
"Dinamika permasalahan urban di Indonesia : catatan dalam konteks lokal",301.0,"Ilmu-ilmu sosial",KB-178700
"Biologi laut : pencemaran logam berat dan pengaruhnya terhadap anatomi dan fisiologi lamun",578.0,"Ilmu-ilmu murni",KB-613895
"book chapter Perang melawan sampah plastik",363.0,"Ilmu-ilmu sosial",KB-773266
"Sistem toll laut Indonesia menuju era maritim 5.0",338.0,"Ilmu-ilmu sosial",KB-906379
"Pengantar bakteriologi pada penyakit infeksi untuk ATLM",579.0,"Ilmu-ilmu murni",KB-978472
"Menuju perguruan tinggi indonesia berkualitas : sumbangsih pemikiran detaser",378.0,"Ilmu-ilmu sosial",KB-313007
"Aplikasi teknologi akustik dan satelit oseanografi untuk pemanfaatan sumber daya perikanan",338.0,"Ilmu-ilmu sosial",KB-991516
"Pedoman penyelenggaraan kearsipan di perguruan tinggi",0.0,"Karya umum",KB-707580
"E-business strategi, model dan penerapannya",650.0,"Ilmu-ilmu terapan",KB-110563
"Kimia asam-basa berbasis kontektual",540.0,"Ilmu-ilmu murni",KB-537460
"Belajar mengajar matematika",371.0,"Ilmu-ilmu sosial",KB-215806
"Potensi tumbuhan surian (toona sinensis)",571.0,"Ilmu-ilmu murni",KB-600994
"Ayo mengenal nama-nama ilmiah makluk hidup",570.0,"Ilmu-ilmu murni",KB-125622
"Konsep dasar elektronika daya",621.0,"Ilmu-ilmu terapan",KB-072185
"Penyetaraan vetikal dengan pendekatan klasik dan item response theory",370.0,"Ilmu-ilmu sosial",KB-115009
"Analisis mengenai dampak lingkungan (AMDAL)",577.0,"Ilmu-ilmu murni",KB-168518
"Buku ajar sosiolinguistik",306.0,"Ilmu-ilmu sosial",KB-545530
"Pendidik inspiratif",371.0,"Ilmu-ilmu sosial",KB-283600
"Ilmu hukum adat",341.0,"Ilmu-ilmu sosial",KB-420349
"Logika dasar penalaran",160.0,Filsafat,KB-306283
"Manajemen kewirausahaan",338.0,"Ilmu-ilmu sosial",KB-247730
"Model pengelolaan arsip",20.0,"Karya umum",KB-577771
"Hukum zakat peran BAZBAS dalam pengelolaan zakat",298.0,Agama,KB-384868
"Modernisasi e-module dalam kegiatan pembelajaran",371.0,"Ilmu-ilmu sosial",KB-295999
"Perubahan iklim dan pemanasan global",522.0,"Ilmu-ilmu murni",KB-142323
"Eksperimen kimia sederhana panduan praktis kimia untuk guru dan siswa",541.0,"Ilmu-ilmu murni",KB-373947
"Berkubang vs menuntaskan masalah :",158.0,Filsafat,KB-848113
"Purchase order dalam perspektif hukum kontrak",346.0,"Ilmu-ilmu sosial",KB-670507
"Tindakan konservasi menyelamatkan produktivitas lahan dan ketersediaan air dalam tanah",631.0,"Ilmu-ilmu terapan",KB-166778
"Disaster management",613.0,"Ilmu-ilmu terapan",KB-477431
"English for digital marketing",659.0,"Ilmu-ilmu terapan",KB-767598
"Pengenalan beberapa penerapan model stokastik",510.0,"Ilmu-ilmu murni",KB-872830
"Kepemimpinan dan berfikir sistem",303.0,"Ilmu-ilmu sosial",KB-997447
"Perencanaan dan evaluasi kesehatan",610.0,"Ilmu-ilmu terapan",KB-677697
"Komunikasi robot dan PLC",620.0,"Ilmu-ilmu terapan",KB-418932
"Deskripsi genotipe jarak pagar (jatropha curcas linn) hasil persilangan",630.0,"Ilmu-ilmu terapan",KB-000001
"Buku ajar kelainan tiroid",611.0,"Ilmu-ilmu terapan",KB-007897
"Dinamika kesejahteraan dan pekerjaan sosial",362.0,"Ilmu-ilmu sosial",KB-786978
"Toleransi generasi muda dalam demokrasi pancasila",327.0,"Ilmu-ilmu sosial",KB-297756
"Bahan ajar metode numerik",518.0,"Ilmu-ilmu murni",KB-532441
"Konsep dan penerapan manajemen risiko operasional : RCSA-KRI-LED",330.0,"Ilmu-ilmu sosial",KB-668378
"Psikopedagogik islam dimensi baru teori pendidikan",298.0,Agama,KB-451823
"Regional politics of southeast asia contemporary dynamism and revisiting indonesia's role",352.0,"Ilmu-ilmu sosial",KB-368787
"Buku referensi remaja sehat bebas anemia",616.0,"Ilmu-ilmu terapan",KB-116422
"City Branding kota kreatif desain : Singapore & Bangkok",711.0,"Kesenian, hiburan, dan olahraga",KB-872633
"A guide to survive in the corona virus pandemic and the society 5.0 era",614.0,"Ilmu-ilmu terapan",KB-407622
"Polimer termoset",622.0,"Ilmu-ilmu terapan",KB-411959
"Analisis farmasi dengan spektroskopi UV-VIS dan kemometrika",615.0,"Ilmu-ilmu terapan",KB-259426
"Desain produk inovatif & inkubasi bisnis kompetitif",659.0,"Ilmu-ilmu terapan",KB-160635
"Copywriting retorika, iklan dan storytelling, teori dan teknik menulis naskah iklan",808.0,Kesusastraan,KB-137024
"Seluk beluk mikroalga dan botryococcus braunii",575.0,"Ilmu-ilmu murni",KB-996669
"Kellimpahan mollusca padanglampe",594.0,"Ilmu-ilmu murni",KB-828390
"Pengolahan citra medis filter, enchancement, segmentasi, kuantifikasi, registration, visualization, compression",5.0,"Karya umum",KB-327609
"Pembelajaran matematika dengan STEM (science, technology, engineering, mathematic)",510.0,"Ilmu-ilmu murni",KB-461085
"Pejuang mimpi",920.0,"Geografi dan sejarah",KB-749299
"5 Analisa berpikir sistematis",658.0,"Ilmu-ilmu terapan",KB-533260
"Kimia analitik lanjut",543.0,"Ilmu-ilmu murni",KB-947245
"Stat-of-the-art treatment of heart failure",616.0,"Ilmu-ilmu terapan",KB-977879
"State-of the-art- treatment of coronary heart disease",616.0,"Ilmu-ilmu terapan",KB-162193
"Assessment for learning (AFL) dalam pendidikan matematika",371.0,"Ilmu-ilmu sosial",KB-376675
"Penetalaksanaan terpadu penyakit tidak menular",362.0,"Ilmu-ilmu sosial",KB-771155
"Riau istimewa ! pusparagam cerpen, puisi, esai",808.0,Kesusastraan,KB-060240
"Who wants to be a teacher ? meyiapkan guru profesional di era global society 5.0",371.0,"Ilmu-ilmu sosial",KB-205560
"Adsorpsi arang aktif (kimia permukaan-kimia zat padat-kimia katalis)",541.0,"Ilmu-ilmu murni",KB-095492
"Komunikasi politik di era digital",320.0,"Ilmu-ilmu sosial",KB-134226
"Sains material : struktur, sifat, sintestis dan aplikasinya",500.0,"Ilmu-ilmu murni",KB-606825
"Desain dan inovasi peningkatan kualitas pelayanan publik berbasis pelanggan",351.0,"Ilmu-ilmu sosial",KB-013699
"Di balik putaran uang APBN",351.0,"Ilmu-ilmu sosial",KB-537519
"Penanganan virus HIV/AIDS",617.0,"Ilmu-ilmu terapan",KB-845391
"Buku monograf pentingnya memahami bimbingan dan konseling bagi guru mata pelajaran",371.0,"Ilmu-ilmu sosial",KB-029459
"Antioksidan alami sembung (blumea balsamifera) sebagai anthiperkolesterolemia",610.0,"Ilmu-ilmu terapan",KB-432993
"Dasar-dasar menulis karya tulis ilmiah",1.0,"Karya umum",KB-122121
"Percarutan  geopolitik kawasan laut china selatan",320.0,"Ilmu-ilmu sosial",KB-073808
"Testing dan implementasi sistem dengan pengujian object-oriented",621.0,"Ilmu-ilmu terapan",KB-967592
"Konstruksi pembentukan peraturan daerah dalam tatanan negara hukum yang demokratis",348.0,"Ilmu-ilmu sosial",KB-431610
"Buku referensi intellectual capital",658.0,"Ilmu-ilmu terapan",KB-112819
"Tujuh karakter dari tujuh kebiasan orang efektif",155.0,Filsafat,KB-505745
"Pemasaran kreatif untuk segala bisnis",659.0,"Ilmu-ilmu terapan",KB-329749
"Pelayanan sektor publik di asia dan eropa",351.0,"Ilmu-ilmu sosial",KB-521916
"Neraca energi tanpa reaksi kimia : konsep dan aplikasi industri",660.0,"Ilmu-ilmu terapan",KB-196252
"Serentak bergerak wujudkan merdeka belajar",375.0,"Ilmu-ilmu sosial",KB-279539
"Cross-cultural understanding coursebook",306.0,"Ilmu-ilmu sosial",KB-402665
"Toksikologi lingkungan",616.0,"Ilmu-ilmu terapan",KB-207864
"Analisis kuantitatif obat",615.0,"Ilmu-ilmu terapan",KB-042921
"Analisis risiko kesehatan lingkungan",364.0,"Ilmu-ilmu sosial",KB-502621
"Bagaimana cara menggunakan tenses dalam menulis  jurnal internasional",410.0,Bahasa,KB-114985
"Mengenal kerajaan Berau di daerah pesisir timur Kalimantan",819.0,Kesusastraan,KB-099534
"Manajemen pembiayaan pendidikan",374.0,"Ilmu-ilmu sosial",KB-423346
"Daring yang tidak garing",370.0,"Ilmu-ilmu sosial",KB-474874
"Energi terbarukan konsep dasar menuju kemandirian energi",551.0,"Ilmu-ilmu murni",KB-474122
"Drug related problems identifikasi, faktor risiko, dan pencegahannya",362.0,"Ilmu-ilmu sosial",KB-233614
"Dinamika pengaturan pengadaan tanah di indonesia dari",333.0,"Ilmu-ilmu sosial",KB-001369
"Pengolahan citra dan suara",7.0,"Karya umum",KB-509035
"Negotiation of meaning language awareness and corrective feedback",159.0,Filsafat,KB-847094
"Memahami bunyi puisi teori dan analisis",811.0,Kesusastraan,KB-721678
"Sukses ide berwirausaha tuangkan ide dan konsep, lakukan sekarang juga",338.0,"Ilmu-ilmu sosial",KB-161818
"Bumi Karema",391.0,"Ilmu-ilmu sosial",KB-538590
"Tradisi togak tonggol di langgam, pelalawan",391.0,"Ilmu-ilmu sosial",KB-583979
"Buku panduan tari persembahan adat melayu kepulauan riau",391.0,"Ilmu-ilmu sosial",KB-227671
"Buku panduan istiadat penganugerahan gelar datu setia amanah kepada",391.0,"Ilmu-ilmu sosial",KB-491484
"Kepemimpinan pendidikan",303.0,"Ilmu-ilmu sosial",KB-509490
"Strategi pembelajaran atletik",796.0,"Kesenian, hiburan, dan olahraga",KB-519979
"Mengenal dengan cepat embriogenesis ikan binisi, oryzias celebensis untuk studi ekotoksikologi",572.0,"Ilmu-ilmu murni",KB-983944
"Aplikasi teknik elektro dan komputer  implementasi teknologi elektronika dan perangkat lunak bagi masyarakat 5.0",621.0,"Ilmu-ilmu terapan",KB-087283
"Adaptive power charge menggunakan ANN-PID Controller",621.0,"Ilmu-ilmu terapan",KB-033752
"Monograf pola rekonsiliasi konflik nelayan (sebuah fakta pertikaian di laut )",639.0,"Ilmu-ilmu terapan",KB-480534
"Nelayan pulau kecil dan kapitalisme",639.0,"Ilmu-ilmu terapan",KB-412489
"Aksi preventif dan promotif melawan covid 19 book chapter",617.0,"Ilmu-ilmu terapan",KB-599205
"Membangun perilaku masyarakat berjiwa pancasila",320.0,"Ilmu-ilmu sosial",KB-537442
"Book chapter gender di pesisir",305.0,"Ilmu-ilmu sosial",KB-156296
"Fisika teknik",621.0,"Ilmu-ilmu terapan",KB-330287
"Teknologi pemasaran digital dan manajerial kewirausahaan",658.0,"Ilmu-ilmu terapan",KB-433612
"Tantangan pengembangan sumberdaya lahan rawa dan gambut",639.0,"Ilmu-ilmu terapan",KB-404171
"Social force model untuk robot sepak bola berdoa",621.0,"Ilmu-ilmu terapan",KB-131700
"Sistem komunikasi digital teori, contoh soal dan aplikasi",621.0,"Ilmu-ilmu terapan",KB-613684
"Mewujudkan good governance (tata kelola perusahaan yang baik) di era industri 4.0 dan masyarakat 5.0",659.0,"Ilmu-ilmu terapan",KB-984340
"Dimensi-dimensi manusia dalam politik dan pembangunan (kumpulan tulisan dari ragam perspektif)",320.0,"Ilmu-ilmu sosial",KB-375138
"Teknologi vector control paa electric city car dengan motor induksi 3 phasa sebagai penggerak",621.0,"Ilmu-ilmu terapan",KB-810585
"Viktimologi dan sistem peradilan pidana",345.0,"Ilmu-ilmu sosial",KB-022131
"Iventarisasi data dan dokumentasi kebudayaan provinsi kepulauan riau tahun 2020",306.0,"Ilmu-ilmu sosial",KB-044214
"Desain pembangunan olahraga nasional (perspektif sosial -budaya, politik, kebijakan & Hukum )",790.0,"Kesenian, hiburan, dan olahraga",KB-128938
"Etika profesi guru",371.0,"Ilmu-ilmu sosial",KB-283705
"Perilaku dalam deteksi dini kanker serviks",617.0,"Ilmu-ilmu terapan",KB-568738
"Khazanah manuskrip Riau-Lingga Abad 19 pemerian tiga puluh manuskrip melayu warisan zaman kerajaan Riau-Lingga",91.0,"Karya umum",KB-178845
"Raja khalid hitam (1860-an-1914)",920.0,"Geografi dan sejarah",KB-621189
"Syair perkawinan kapitan tik sing (syair perkawinan anak kapitan Cina Tanjungpinang pada abad 18 )",899.0,Kesusastraan,KB-920037
"Teori dan teknik penyelesaian kasus rangkaian listrik dengan matlab dan simulink II",621.0,"Ilmu-ilmu terapan",KB-852149
"Community business matching model : pendekatan inovatif terhadap pengembangan public private partnership",650.0,"Ilmu-ilmu terapan",KB-830746
"Knowledge broker perspektif islam, pancasila, akal pikiran neurosanins",370.0,"Ilmu-ilmu sosial",KB-747788
"Buku ajar blok Pengantar penyakit infeksi penunjang diagnostik dan terapi",617.0,"Ilmu-ilmu terapan",KB-258575
"Untukmu seorang wanita for you a woman",818.0,Kesusastraan,KB-084671
"Catatan kisah hidupku sabar dan setia dalam perjuangan demi mencapai cita- cita",924.0,"Geografi dan sejarah",KB-537844
"Hypno-NLP dalam proses belajar mengajar",154.0,Filsafat,KB-357546
"Strategi pembelajaran pendidikan jasmani",371.0,"Ilmu-ilmu sosial",KB-594420
"Theoretical approaches to TEFL",425.0,Bahasa,KB-289938
"Etika dan hukum kesehatan",344.0,"Ilmu-ilmu sosial",KB-833504
"Ormas dan partai politik islam di indonesia",298.0,Agama,KB-090819
"Analisis efisiensi fasilitas kesehatan aplikasi menggunakan software",362.0,"Ilmu-ilmu sosial",KB-863944
"Analisis farmasi dengan kromatografi cair",615.0,"Ilmu-ilmu terapan",KB-692399
"clinical decision making series Dermatologi dan venereologi",617.0,"Ilmu-ilmu terapan",KB-970927
"Buku ajar Age-related macular degeneration : degenerasi makula terkait usia",610.0,"Ilmu-ilmu terapan",KB-025773
"Erosi dan konservasi lahan",334.0,"Ilmu-ilmu sosial",KB-205577
"Komunikasi politik sebuah agenda politik, untuk siapa, menyatakan apa di era kekinian",320.0,"Ilmu-ilmu sosial",KB-704316
"Aksiologi sebagai dasar pembinaan kepribadian bangsa dan negara indonesia",122.0,Filsafat,KB-788540
"Demokrasi ekonomi di pasar rakyat",330.0,"Ilmu-ilmu sosial",KB-039998
"Dari sampah plastik menjadi bensin & solar",548.0,"Ilmu-ilmu murni",KB-702536
"E- Governance",320.0,"Ilmu-ilmu sosial",KB-607575
"Korupsi merusak perekonomian dan moral bangsa",364.0,"Ilmu-ilmu sosial",KB-346931
"Ya beginilah hidup jalani saja menerima kenyataan, menumbuhkan harapan menata masa depan",155.0,Filsafat,KB-949362
"Dekonstruksi pemahaman pancasila menggali jati diri hukum indonesia",340.0,"Ilmu-ilmu sosial",KB-008978
"Analisis dan perancangan fondasi I ed.4",720.0,"Kesenian, hiburan, dan olahraga",KB-598373
"Fortifikasi pangan berbasis sumberdaya nusantara",364.0,"Ilmu-ilmu sosial",KB-636272
"Fisiologi sistem reproduksi pria",612.0,"Ilmu-ilmu terapan",KB-823795
"Farmakologi molekuler target aksi obat dan mekanisme molekuler",615.0,"Ilmu-ilmu terapan",KB-674012
"Analisis obat dalam sediaan farmasi",615.0,"Ilmu-ilmu terapan",KB-742431
"Teori belajar dan model pembelajaran inovatif perspektif teori dan praktis",371.0,"Ilmu-ilmu sosial",KB-153544
"Di laut kita (belum) jaya kajian evaluatif diplomasi maritim indonesia",623.0,"Ilmu-ilmu terapan",KB-798008
"Brief history pemanduan kapal di indonesia kajian historis dengan analisis normatif",623.0,"Ilmu-ilmu terapan",KB-756647
"Mengolah limbah minyak jelantah menjadi produk kewirausahaan",660.0,"Ilmu-ilmu terapan",KB-338825
"Dinamika keamanan kawasan asia timur : perspektif hubungan internasional",327.0,"Ilmu-ilmu sosial",KB-175645
"Memahami dahsyatnya pandemi covid-19 terhadap perekonomian global",337.0,"Ilmu-ilmu sosial",KB-969930
"Mempersiapkan diri menuju profesi jurnalis bagi pemula",70.0,"Karya umum",KB-344876
"Safety expert ahli keselamatan dan kesehatan kerja profesional sukses",614.0,"Ilmu-ilmu terapan",KB-234762
"ASN Berakhlak bangga melayani bangsa",353.0,"Ilmu-ilmu sosial",KB-464146
"Writing for general communication",421.0,Bahasa,KB-034278
"Manajemen strategi di era revolusi industri 4.0",658.0,"Ilmu-ilmu terapan",KB-967130
"Kompleksitas covid-19 negara, pangan & kesehatan",617.0,"Ilmu-ilmu terapan",KB-442497
"50 Years pf amity and enmity the politics of ASEAN Cooperation",352.0,"Ilmu-ilmu sosial",KB-103077
"Peran bank syariah dalam pemulihan ekonomi nasional",297.0,Agama,KB-932939
"Indonesia's contribution to macro sustainability",361.0,"Ilmu-ilmu sosial",KB-978929
"Migrasi dan perbatasan di indonesia studi aspek multidimensi",305.0,"Ilmu-ilmu sosial",KB-491840
"Hukum korporasi di indonesia dalam pendekatan GRC terintegrasi (governance, risk, compliance)",346.0,"Ilmu-ilmu sosial",KB-550618
"Modul ajar pengelolaan sampah",364.0,"Ilmu-ilmu sosial",KB-372908
"Tentang kematian",813.0,Kesusastraan,KB-674864
"Limbah infeksius rumah tangga saat pandemi covid-19",364.0,"Ilmu-ilmu sosial",KB-185462
"Karbon Aktif : Perpanjangan masa pakai minyak goreng",547.0,"Ilmu-ilmu murni",KB-668943
"Hukum perlindungan anak dan perempuan di indonesia",344.0,"Ilmu-ilmu sosial",KB-076237
"Fisiologi hewan coba (teori dan implementasi)",571.0,"Ilmu-ilmu murni",KB-241128
"Diskursus soal islam, politik dan hubungan internasional",297.0,Agama,KB-857700
"Iklim organisasi : perspektif psikologi",100.0,Filsafat,KB-723698
"Kelembagaan pemerintahan negara dalam kajian hukum tata negara islam",320.0,"Ilmu-ilmu sosial",KB-135552
"Monitoring & evaluasi kebijakan publik",351.0,"Ilmu-ilmu sosial",KB-552494
"Mengenal karakter molekuler dan imunogenesitas flagella salmonella typhi penyebab demam tifoid",610.0,"Ilmu-ilmu terapan",KB-866747
"Transfer pembelajaran upaya meningkatkan manfaat pelatihan",371.0,"Ilmu-ilmu sosial",KB-978847
"Teknologi pegar untuk penanggulangan erosi dan abrasi pantai",620.0,"Ilmu-ilmu terapan",KB-618983
"Demi bahasa bermanfaat dan bermartabat",400.0,Bahasa,KB-706497
"Inquiry dalam pembelajaran sistem gerak dan pencernaan manusia",371.0,"Ilmu-ilmu sosial",KB-022066
"Buku saku desinfektan",613.0,"Ilmu-ilmu terapan",KB-627069
"Manajemen peningkatan mutu pembelajaran melalui pemberdayaan fungsi media pembelaran",371.0,"Ilmu-ilmu sosial",KB-864763
"Penerapan model pembelajaran berdiferensiasi",371.0,"Ilmu-ilmu sosial",KB-543822
"Monograf bio-oil berbasis biomassa",548.0,"Ilmu-ilmu murni",KB-709243
"Dasar-dasar aljbar linear dan penggunaannya dalam berbagai bidang",512.0,"Ilmu-ilmu murni",KB-208208
"Secercah cahaya di tengah gelapan",813.0,Kesusastraan,KB-061672
"Akuntansi keperilakuan",657.0,"Ilmu-ilmu terapan",KB-207404
"FARMAKOLOGI MOLEKULER",615.0,"Ilmu-ilmu terapan",KB-774515
"Isu-isu khilafiyah dalam mazhab ahlusunnah sebuah tinjauan kritis",298.0,Agama,KB-417522
"Ekonomi pembangunan",340.0,"Ilmu-ilmu sosial",KB-770167
"Pemanfaatan black soldier fly (BSP) dalam pengelolaan",577.0,"Ilmu-ilmu murni",KB-765683
"Pendekatan scientific berbantuan geogebra untuk meningkatkan mathematical problem solving",519.0,"Ilmu-ilmu murni",KB-415944
"Pelacakan otomatis pergerakan rongga jantung menggunakan optical flow",611.0,"Ilmu-ilmu terapan",KB-169195
"Pembangunan pulau-pulau kecil terluar indonesia untuk kesejahteraan dan ketahanan nasional",362.0,"Ilmu-ilmu sosial",KB-556422
"Islamnya asia tenggara ; analisis perubahan sosial, budaya, ekonomi masyarakat,",297.0,Agama,KB-905914
Narashit,813.0,Kesusastraan,KB-891118
"Developing mobile english application as teaching media",371.0,"Ilmu-ilmu sosial",KB-991016
"Indonesia era disrupsi utak atik politik negara di era disrupsi dan pandemi",323.0,"Ilmu-ilmu sosial",KB-037512
"Aspek hukum atas senjata api bela diri",356.0,"Ilmu-ilmu sosial",KB-796422
"Bulan sabit",813.0,Kesusastraan,KB-255595
"Ekologi hewan",592.0,"Ilmu-ilmu murni",KB-455945
"Kinerja guru dari aspek partisipasi dan implementasi pengawasan",371.0,"Ilmu-ilmu sosial",KB-872063
"Q-Time kontribusi guru untuk pendidikan",370.0,"Ilmu-ilmu sosial",KB-062577
"The shortcut perawatan dasar kulit",610.0,"Ilmu-ilmu terapan",KB-326314
"Pemuda & teknologi refleksi keberadaan pemuda di era teknologi",155.0,Filsafat,KB-892651
"Keracunan, alergi, dan intololeran makanan",363.0,"Ilmu-ilmu sosial",KB-203788
"Kiat menulis buku ilmiah",372.0,"Ilmu-ilmu sosial",KB-019902
"Metodologi penelitian PJOK",1.0,"Karya umum",KB-167473
"Pengendalian ekologis nyamuk anopheles",595.0,"Ilmu-ilmu murni",KB-258200
"Guru kaya raya bahagia masuk surga",371.0,"Ilmu-ilmu sosial",KB-845543
"Model proposal tesis kuantitatif berbasis manajemen era digital",1.0,"Karya umum",KB-882359
"Memahami perang dagang AS-China dan dampaknya",382.0,"Ilmu-ilmu sosial",KB-909914
"Alternatif penyelesaian sengketa dan arbitrase",342.0,"Ilmu-ilmu sosial",KB-053906
"Modul pelatihan community mental health nursing",611.0,"Ilmu-ilmu terapan",KB-565712
"Manusia, lingkungan, bergegas dalam berbagai perubahan dalam tinjuan etnoekologi",304.0,"Ilmu-ilmu sosial",KB-631404
"Bahasa mandari hubungan internasional",495.0,Bahasa,KB-646406
"Model-model pembelajaran inovatif untuk mata pelajaran MIPA",371.0,"Ilmu-ilmu sosial",KB-534477
"Memahami contract drafting",346.0,"Ilmu-ilmu sosial",KB-741963
"Mini riset mikrobiologi terapan ed. 2",576.0,"Ilmu-ilmu murni",KB-368202
"14 Jam belajar cepat internet of things (iot) aplikasi sensor dan aktuator",4678.0,"Geografi dan sejarah",KB-649952
"Dasar-dasar ilmu hukum",340.0,"Ilmu-ilmu sosial",KB-056427
"Kimia dasar I",546.0,"Ilmu-ilmu murni",KB-463222
"Matematika teknik dan aplikasinya",510.0,"Ilmu-ilmu murni",KB-166125
"Bahasa indonesia",499.0,Bahasa,KB-829386
"Pasar & instrumen keuangan islam",332.0,"Ilmu-ilmu sosial",KB-767820
"Kalkulus 1",515.0,"Ilmu-ilmu murni",KB-524770
"Hukum merek kolektif teori dan praktik di indonesia dan beberapa negara",346.0,"Ilmu-ilmu sosial",KB-081058
"Under the lantern : putting the disabled in indonesia under spotlight",340.0,"Ilmu-ilmu sosial",KB-369164
